Job_position,Company,Location,Salary,requirements
Wordpress Developer,Thor Solutions,"New Delhi, Delhi","15,000 - 20,000 a month","Must have good knowledge of Elementor, including Global Fonts and Colors and must know how to use Theme Builder, etc.Total work: 3 years (Required)."
Software QA Engineer,Kreate Communication,Remote,"20,736 - 60,000 a month","Exp : 3 to 4 yes.Salary: 4 to 6 LPA.For more details please contact.Education : BE/MCA/BCS/MCS.Skill Set: Manual testing, experience in mobile e-commerce,…"
App Developer,SysTools Software Pvt. Ltd.,"Dwarka, Delhi, Delhi","20,000 - 60,000 a month","The Application Developer processes user needs to customize software for computer programs, designs prototype applications, implements and tests source code,…"
Software Developer,Iglaps Technologies,"Noida, Uttar Pradesh","15,000 - 45,000 a month",Should have excellent database design and implementation skills.Strong understanding of Magento back-end and Magento Framework.Temporarily due to COVID-19.
Functional Test Planning Application Developer,Accenture,"Pune, Maharashtra",-999,"Key Responsibilities : a- Will be responsible for Designing and executing test cases b- Analyze users stories, use cases and requirements for validity and…"
Wordpress Developer,Green Cube Solutions,"Ahmedabad, Gujarat","15,000 - 35,000 a month","Knowledge of other page builders is a plus like – Elementor, Divi, etc.Strong understanding of WordPress development and build a custom solution for our client…"
Staff Specialist Product Developer,BMC Software,"Pune, Maharashtra",-999,"Description and Requirements From core to cloud to edge, BMC delivers the software and services that enable over 10,000 global customers, including 84% of the…"
Front End Developer,LearnQ.ai,"Bengaluru, Karnataka","5,50,000 a year","At LearnQ, we believe every child is unique and full of potential. Our goal is to help them realize their potential. We wish to build a new generation of…"
Front End Developer,Metric Tree Labs,"Ernakulam, Kerala","30,000 - 35,000 a month",Job Description We are looking for front end developers who are proficient in front-end technologies. An ideal candidate will be a team player who will…
Backend Developer,LearnQ.ai,"Bengaluru, Karnataka","5,50,000 a year","*We are seeking an extremely talented backend developer to help pioneer the next wave of Ed-Tech. We believe you can help us deliver the stable, reliable and…"
Dell Boomi Developer - Freelancer,DevCool Inc.,"Pune, Maharashtra",-999,We are looking for a Dell Boomi Developer with the below qualifications: · 4+ years of programming experience with Integration projects in the healthcare…
Staff Product Developer,BMC Software,"Pune, Maharashtra",-999,"Description and Requirements From core to cloud to edge, BMC delivers the software and services that enable over 10,000 global customers, including 84% of the…"
Full Stack Developer(Shopify Developer),Esthetic Insights Pvt. Ltd.,"Hyderabad, Telangana","7,20,000 - 12,00,000 a year",Roles and Responcibilites · Developing eCommerce sites on Shopify platform · Developing custom Shopify themes · Migrating websites from other eCommerce…
ASP.NET MVC Developer,Cadvil Technologies Pvt Ltd,"Kadavanthara, Kerala","2,40,000 - 4,40,000 a year",Cadvil Technologies Private Limited Cadvil offers IT services and solutions with cutting edge technologies to its customers. Our goal is to design and…
Wordpress Developer,Green Cube Solutions,"Ahmedabad, Gujarat","15,000 - 35,000 a month",* Strong understanding of WordPress development and build a custom solution for our client. * In-depth understanding of performance/security considerations. *…
Wordpress PHP Backend Developer,Development Logics,"Noida, Uttar Pradesh","25,000 - 40,000 a month",Only candidates with WordPress backend development experience apply for this role. The job requires you to possess the following skills and experience : …
Android | Flutter Developer,Cliffex,"Noida, Uttar Pradesh","12,000 - 50,000 a month",Cliffex is looking for app developers with working experience of Android and Flutter development. Should have published live Flutter app available on the Play…
Angular Developer,Sparsh Technologies,"Nagpur, Maharashtra","25,000 - 50,000 a month",Strong Angular knowledge. Bootstrap knowledge is must. Logical thinking and team handling skill needed. Good communication is needed. Job Type: Full-time…
Backend Developer,Designfort Software House LLC,"Kochi, Kerala","25,000 - 50,000 a month",We are looking for a PHP Developer responsible for managing back-end services and the interchange of data between the server and the users. Your primary focus…
Angular Developer,Sagacity Softwares pvt. ltd.,"Pune, Maharashtra",-999,We are Hiring! We have an urgent opening for Angular Developer for our company. Job Description for Angular Developer: Experience: 3-5 Years Relevant in…
Full Stack Developer - React,TaskPro Services,"Navi Mumbai, Maharashtra","25,000 - 85,000 a month",We need a dynamic and experienced Full Stack Developer who can work standalone in a fast moving startup environment. Our esteemed client is one of the…
SAP Hybris Commerce Application Developer,Accenture,"Gurgaon, Haryana",-999,"Key Responsibilities : a:Develop Digital Consumer experiences based on a foundation of Hybris Develop awesome features such as product search, order management,…"
UI Developer,"Hacker Valley, Inc.","Bengaluru, Karnataka","8,000 - 10,000 a month","UI Integration with existing applications using HTML, CSS, Javascript, Ajax.Design and implement high-quality HTML5 based, responsive UI with emphasis on…"
Software Tester,Times World Information Technology,India,-999,Up-to-date knowledge of software test design and testing methodologies.Prepare all reports related to software testing carried out.
workday developer,Conquest Technology Solutions Pvt Ltd,"Gurgaon, Haryana","3,19,406 - 12,91,724 a year",Software development: 5 years (Preferred).Primary Skillset: Strong workday development experience with key skills as: -.Studio – would be nice to have.
Software Engineering Quality Director - Bangalore,SAP,"Bengaluru, Karnataka",-999,Drive product quality deliverables through Agile development methodologies besides being an advocate of Continuous Improvement using Automation.
HTML/CSS Developer,Khusaki Technologies,India,-999,"Have the nerve to create bold, exctatic web applications, meaningful dashboards.We are looking for dynamic, creative web designers, who can challenge…"
Software Developer (.Net),Infinity Transoft Solution Pvt. Ltd.,"Rajkot, Gujarat","20,000 - 33,000 a month",".Net Developer will be responsible for the design, development, and implementation of software applications using primarily Microsoft technologies, such as .NET…"
Junior Developer,Strokx Technologies,"Kadavanthara, Kerala",-999,"To learn the codebase, attend design meetings, write basic code, fix bugs, and assist the Development Manager in all design-related tasks."
Software Developer,Open Etechnologies,"Mumbai, Maharashtra",-999,Knowledge of Python & JS would be an added advantage.E or MCA or B.Sc (IT/Computers) or M.Develop and enhance ERPNext platform via pull requests.
Software Developer - .Net,Wood Plc,"Chennai, Tamil Nadu",-999,Minimum of 3 years of experience of design and development of commercial full stack .NET Developer reports to the Lead Developer and interacts closely and…
Web Developer,Neuvin Electronics Pvt Ltd,"Delhi, Delhi","20,000 a month","Website and software application designing, building, or maintaining.Developing or validating test routines and schedules to ensure external interfaces and…"
"Software Engineer, Full Stack Developer",Presidio,"Chennai, Tamil Nadu",-999,"Continuous Learner - Things change in our industry continuously, and technology specialist always love to learn both the technology and the business."
Software Developer,Nethues Technologies Pvt. Ltd.,"Delhi, Delhi",-999,"Familiarity with modern front-end build pipelines and tools (like Jenkins, Github, etc).We need a React.js developer for our compny who has minimum 2 years of…"
Android Developer,Humanitics Dimensions Software Pvt. Ltd.,"Delhi, Delhi",-999,"Strong knowledge of Android UI design principles, patterns, and best practices.Familiarity with RESTful APIs to connect Android applications to back-end…"
Software Engineer,A Square Technology,"Bhopal, Madhya Pradesh","15,618 - 44,416 a month","Software development: 1 year (Preferred).Engineering/ Science graduates (any branch) and MCAs.Should be a graduate of 2017, 2018, 2019 and 2020 batches."
Web Developer,Dot Creatives Digital Marketing Agency,"Gurgaon, Haryana","5,000 - 8,000 a month",The candidate is suppose to work be very good in web development as he is suppose to working in word press.Should be available full time for work.
Unix Developer,Barclays,"Chennai, Tamil Nadu",-999,"Good communication skills (verbal and written) and ability to face off with various levels of seniority.These include a competitive salary and pension, health…"
Software Developer (Python),Algoworks Solutions,"Noida, Uttar Pradesh",-999,You must be an independent and self-driven individual who likes to stay up to date on new technologies.Expert in Python language with hands-on experience on…
Software Developer,adroitCoders,"Nashik, Maharashtra",-999,"Software development: 1 year (Preferred).Currently I am looking for Software Developers who should have Hands- On experience in React. js, Webpack and…"
Flutter Developer,SysQuo Innovation Private Limited,"Noida, Uttar Pradesh","3,60,000 a month","Candidate should have 2-5 years of good expertise in developing a hybrid mobile application, with at least 1-2 years of experience in the Flutter framework."
